code,name,credit,description
FIN 200,Introduction to Financial Planning,3,"Fall Provides general principles of financial planning, professional ethics, regulation, and planning. Assists in understanding 
the financial planning process and working with clients to set goals and assess risk. Other topics include processing 
and analyzing information, constructing personal financial statements, developing debt management plans, 
recommending financing strategies, understanding basic components of a comprehensive financial plan, the time 
value of money, and economic principles."
FIN 201,Financial Institutions,1,"Spring A trip that explores the financial districts of a major city such as New York, Chicago or London. The length of the trip 
may vary. This trip could be an extra week added onto the cross-cultural experience. Graded ""S""/""U,"" unless required 
for the major/minor."
FIN 202,Student Managed Investments,1,"Fall, Spring Participation in the Gainey School of Business Investment team that invests funds for student scholarships and trips. 
Graded ""S""/""U,"" unless required for the major or minor. May be repeated once."
FIN 268,Personal Finance,3,"Online Various alternatives available in planning financial affairs; budgeting, buying on credit, borrowing, saving, investing 
intelligently, home ownership and wise estate planning comprise the core of this course. Practical applications 
facilitate understanding of essential principles of finance and incorporate recent developments. Cross listed"
FIN 301,Money and Banking,3,"Even Springs The development of our monetary and banking structure, with emphasis on the role of government and the Federal 
Reserve System in today’s economy. It is strongly recommended that students take
FIN 362 Principles of Finance. "

FIN 368, Insurance and Risk Management,3,"Even Springs Provides an overview of risk management and insurance concepts. Primary focus on identification and evaluation of 
loss exposures in personal and business settings. Alternative techniques for managing these risks will be analyzed. 
Decision-making methods under uncertainty are covered in this course. It is strongly recommended that students take 
a Statistics course before taking this course to acquire prerequisite knowledge needed for course success."
FIN 418,Investments,3,"Odd Springs The theory and practice of investments, emphasizing securities, the manner and method of their exchange, the 
function of security market and the factors promoting changes in security prices.  
Prerequisites:"
FIN 451,Business Forecasting and Analytics,3,"Odd Springs Introduces state-of-the-art techniques in business forecasting. Emphasizes both principles and applications. Students 
develop forecasting models in Excel and/or other software programs. Small and large cases are utilized to enhance 
learning.  
Prerequisite: BUS/HES/MAT/
PSY 351 Statistics. "

FIN 452, Series 7 Preparation,3,"Limited Comprehensive course focusing on Series 7 preparation. An in-depth examination of the securities industry from the 
perspective of the brokerage function, including the regulatory environment and legal liability issues, professional 
ethics, transaction settlement procedures, public/client relations and investment planning strategies. Prepares 
students to complete the Qualification Examination for General Securities Registered Representative (Series 7 Exam).  
Prerequisite:"
GEO 232,North America,3,"Even Springs Online Studies the North American continent within the context provided by physical, cultural, and historical geography."
GEO 304, Geography and History of Russia and the Former Soviet Union ,3," See HIS 304."

GEO 331, "China India, and Japan" ,3,  See HIS 331. 

GEO 332, Africa, 3, See HIS 332. 

GEO 333, Latin America ,3, See HIS 333. 

GEO 334, The Middle East ,3,"See HIS 334. Cross listed POL 334." 

GEO 335, East Asia,3, See HIS 335.  

GEO 342, Hebrew History and Geography ,3, See BIB 342.  

GER 100, Business German,3,"Limited Prepares students to communicate in German in everyday situations with emphasis on business. Practice speaking, 
listening, writing, and reading business themes and topics of cultural differences in etiquette and practices."
GER 101,Elementary German I,3,"Limited Fundamentals of speaking, reading, writing, and listening to German and interactive, practical communication skills. 
German culture will be explored."
GER 102,Elementary German II,3,"Limited Continuation of
GER 201,Intermediate German I." 

GES 100, Writing Experience,1-2,"Limited Designed for students who want more opportunity to develop their writing skills. A process-oriented class in which 
writing and rewriting of all papers is expected. Includes development of ideas, different levels of support, and patterns 
of writing. Individual needs will be addressed. One additional lab hour a week is required.  
Prerequisite: by permission from the Academic Support Center only."
